listing_id,name,location,main_characteristics,type,size,capacity,key_amenities,proximity_highlights
16325175.0,"Discover Little Italy from a Hip, Cozy Tinyhouse",Rosemont-La Petite-Patrie,"['cozy kitchen', 'heated concrete floors', 'eclectic decor', '2 floors', ""20' ceiling in the loft""]",Tiny home,No mencionado,2,"['skylight window', 'outdoor patio']","['Jean Talon market', 'coffee shops', 'cafes', 'restaurants', 'churches']"
19093836.0,Luxuriate in the Cozy Apartment near Mount Royal,Le Plateau-Mont-Royal,"['sleek kitchen with monochrome and marble accents', 'luxurious bathroom', 'state-of-art appliances', 'private balcony', 'Jacuzzi tub']",Entire condo,No mencionado,5,"['stainless steel appliances', 'granite countertops', 'TV with Netflix', 'couch']","['bakery', 'supermarket']"
18508404.0,Luxury Historic Montreal 3 Bdrm w/Deck. # 296183,Côte-des-Neiges-Notre-Dame-de-Grâce,"['restored 1920s space', 'original wood details', 'private back patio deck']",Entire rental unit,No mencionado,6,"['Weber barbecue', 'high speed Fiber optic internet', 'SmartTV', 'HEPA Air purifier', 'EV charging', 'parking']","['Netflix', 'Disney + channel', 'board games', 'books']"
19717514.0,"Unwind in Style at a Luxurious, Modern Condo",Le Plateau-Mont-Royal,"['brand-new', 'spacious', 'high-end', 'luxurious feel', 'mixes modern and traditional decor']",Entire condo,No mencionado,9,"['air conditioning', 'fully equipped modern kitchen', 'stainless steel appliances', 'granite countertops']",['No mencionado']
22191982.0,Charming Studio - Next to downtown,Rosemont-La Petite-Patrie,"['Quinn size bed', 'Fully equipped bathroom', 'Fully operational kitchen']",Entire rental unit,No mencionado,2,"['Clean sheets', 'Extra towels', 'Soft pillows']","['Maxi grocery store', 'Convenience store', ""McDonald's restaurant"", 'Promenade Masson', 'Parks', 'Community pool', 'Bus station', 'Biodome', 'Olympic Stadium']"
22260886.0,Downtown Luxe Apartment With An Amazing City View,Ville-Marie,"['Centrally located', 'Large wall of windows', 'Clean interior', 'Designer furniture', 'Minimalist touches']",Entire rental unit,600 square feet,4,"['King size mattress', '700 thread count Egyptian cotton linens', 'SPA towels', 'Kiehl’s toiletries', '70 inch Ultra HD TV', 'Balcony with city views']","['Old Montreal', 'China Town', 'Downtown']"
21862227.0,Modern Studio - Close to Downtown and Old Montreal,Rosemont-La Petite-Patrie,"['Quinn size bed', 'Fully equipped bathroom', 'Fully operational kitchen']",Entire rental unit,No mencionado,2,"['Clean sheets', 'Extra towels', 'Soft pillows']","['Maxi grocery store', 'Convenience store', ""McDonald's restaurant"", 'Promenade Masson', 'Parks', 'Community pool', 'Bus station', 'Biodome', 'Olympic Stadium']"
28414014.0,Business Ready❤Dwtwn Conference Palais de Congres!,Ville-Marie,"['1.5 bathrooms', '0 bedrooms', '1 bed']",Entire rental unit,No mencionado,2,"['iron & ironing board', 'air conditioning', 'elevator', 'no smoking rooms/facilities', 'no pets allowed', 'smoke detectors', 'heating', 'washing machine', 'cable tv', 'cleaning by professional cleaning companies', 'contactless check-in and checkout']",['downtown']
25265659.0,Disinfected Chic Apartment in Trendy Mile End,Le Plateau-Mont-Royal,"['Stylish decor', 'Designer flair', 'Shared terrace with hot tub']",Entire condo,No mencionado,6,"['BBQ', 'Hot tub (upon request)']",['No mencionado']
30155161.0,Bright Designer Home with Backyard Garden,Le Sud-Ouest,"['bright and modern', 'luxury furnishings', 'beautiful backyard']",Entire rental unit,No mencionado,2,"['high-speed Wi-Fi', 'kitchen & bath essentials', 'television', 'Apple TV', 'free street parking']","['best restaurants', 'public transit', 'downtown core', '16km from the airport']"
24203621.0,Studio Apt-Free Parking Near Downtown/Old Montreal,Rosemont-La Petite-Patrie,"['Quinn size bed', 'Fully equipped bathroom', 'Fully operational kitchen']",Entire rental unit,No mencionado,2,"['Free parking', 'Extra towels']","['Maxi grocery store', 'Convenience store', ""McDonald's restaurant"", 'Promenade Masson', 'Parks', 'Community pool', 'Bus station', 'Biodome', 'Olympic Stadium']"
24332411.0,"Appartement aussi spacieux que confortable, à proximité du Marché-Talon.",Rosemont-La Petite-Patrie,"['Spacious common areas', 'Character from 1910 construction', 'Two outdoor spaces']",Entire rental unit,No mencionado,6,"['Wifi', '55’’ TV', 'Free Netflix', 'Nespresso coffee maker', 'Google Home Mini']","['Jean Talon Market', 'Plaza St-Hubert', 'Bike paths', 'Parks', 'Plateau Mont-Royal']"
755459.0,Bohemian Loft Retreat in Montreal’s Old Port,Ville-Marie,"['2-story loft', 'historic building', 'plush couches', 'jacuzzi/shower combo', 'rooftop skylight']",Entire loft,No mencionado,6,"['fireplace', 'fully equipped kitchen', 'laundry', 'WiFi', 'A/C']","['waterfront', 'Old Montreal']"
25266022.0,Mile End Condo with City Views from the Roof Deck,Le Plateau-Mont-Royal,"['Chic and modern space', 'Rooftop deck with city views', 'Hot tub', 'BBQ']",Entire condo,No mencionado,8,"['Stainless steel appliances', 'Open concept kitchen']","['Mont-Royal Park', 'City views']"
744459.0,Magnificent Apartment in Miles End,Le Plateau-Mont-Royal,"['designer space', 'balcony overlooking Saint Laurent Boulevard', 'elegant furnishings', 'state of the art kitchen']",Entire rental unit,No mencionado,2,"['private foyer', 'patio doors', 'dining table for six', 'queen bed']","['Saint Laurent Boulevard', 'The Main']"
